             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurrences	# Books	Letters
0.18288462654132653	0.18316857525301761	0.00999288168861938	0.15457363742159169	0.20987185269891653	120	120	 	Space
0.10266650371711405	0.10217877079731477	0.00394581583268556	0.08837428669285635	0.11171587141510615	120	120	E	E
0.07516998273511516	0.07509993977246371	0.00418897372188706	0.06527384431636189	0.09281484664940542	120	120	T	T
0.06532167023346977	0.06553070586681289	0.00368536911035486	0.05004774012435721	0.08364903992979716	120	120	A	A
0.06159577254159049	0.06200554045501006	0.00317867594188814	0.05656724806842292	0.07406620490375218	120	120	O	O
0.05712011128985469	0.05703083740730461	0.00303197321149403	0.05034691126424646	0.06525604126637380	120	120	N	N
0.05668443260048856	0.05734255240415464	0.00447206907674253	0.04762115770794854	0.07364524950370328	120	120	I	I
0.05317005343812784	0.05326267384545168	0.00374107940250883	0.04469053196396237	0.06269724762404996	120	120	S	S
0.04987908553231180	0.04971999259117901	0.00411140745438838	0.03567611878564196	0.05796863506350731	120	120	R	R
0.04978563962655234	0.04862209247937962	0.00620252700447416	0.02497959814379325	0.06452412076192240	120	120	H	H
0.03317547959533063	0.03356165502675509	0.00296459874260235	0.02691152251938653	0.04452106448967279	120	120	L	L
0.03282923097335889	0.03352273770645298	0.00389899914930944	0.02342268301934505	0.04342634477931227	120	120	D	D
0.02275795359120720	0.02295200399609547	0.00222134885771011	0.01879264720680343	0.03067441212876267	120	120	U	U
0.02233675963832357	0.02265088364428036	0.00476389532905164	0.01316265332569844	0.03991922957440198	120	120	C	C
0.02026567834113036	0.02017270369335810	0.00215952805719032	0.01287818964367449	0.02628748732909734	120	120	M	M
0.01983067155219636	0.01971808878271046	0.00247730334859951	0.01310237786685151	0.02522541930165069	120	120	F	F
0.01703893766467868	0.01689613959174190	0.00333051195231240	0.00906893847456248	0.02446346388873812	120	120	W	W
0.01624904409178952	0.01635866071660768	0.00180394632020271	0.01245900806395271	0.02044476016390460	120	120	G	G
0.01504324284647170	0.01503115599710262	0.00238841178485139	0.00991175895955737	0.02448544667590585	120	120	P	P
0.01427666624127353	0.01469954633196355	0.00291966351058668	0.00594687402746698	0.02652937503958595	120	120	Y	Y
0.01258880743014620	0.01270765661547618	0.00131307729683113	0.01033753484603391	0.01774004693877901	120	120	B	B
0.00796116438442061	0.00788048153834165	0.00097963000339694	0.00517202322858734	0.01123349542145326	120	120	V	V
0.00560962722644426	0.00569167117510226	0.00188960733530497	0.00201348128978965	0.01035359821226374	120	120	K	K
0.00140920161949961	0.00149808323785044	0.00072214140050958	0.00051524620144136	0.00664986091794159	120	120	X	X
0.00097521808184139	0.00114405442279746	0.00058925713638977	0.00050020194488458	0.00412737656181359	120	120	J	J
0.00083675498119895	0.00088093022255462	0.00031966843753939	0.00033314180798679	0.00283692915564425	120	120	Q	Q
0.00051284690692656	0.00059793009448438	0.00037781452425797	0.00004520659413520	0.00291204643249273	120	120	Z	Z
0.00000000000000000	0.00006535243903044	0.00024469276540606	0.00000000000000000	0.00211163378236974	 44	120	Æ	Ae
0.00000000000000000	0.00000279786395974	0.00001779563821970	0.00000000000000000	0.00014801837159017	  5	120	Œ	Oe
0.00000000000000000	0.00000067713327556	0.00000515668132277	0.00000000000000000	0.00004426538574266	  3	120	Α	Alpha
0.00000000000000000	0.00000058213674089	0.00000489214845136	0.00000000000000000	0.00005030157470756	  2	120	Ο	Omicron
0.00000000000000000	0.00000055261976693	0.00000434215723841	0.00000000000000000	0.00004024125976605	  2	120	Ι	Iota
0.00000000000000000	0.00000045646418316	0.00000349060737667	0.00000000000000000	0.00003219300781284	  3	120	Σ	Sigma
0.00000000000000000	0.00000045358827219	0.00000362171804365	0.00000000000000000	0.00003487575846391	  2	120	Ε	Epsilon
0.00000000000000000	0.00000044398179916	0.00000383585757774	0.00000000000000000	0.00004024125976605	  2	120	Ν	Nu
0.00000000000000000	0.00000036062013402	0.00000286941073386	0.00000000000000000	0.00002883956949900	  3	120	Τ	Tau
0.00000000000000000	0.00000031063009394	0.00000264601845753	0.00000000000000000	0.00002749819417347	  2	120	Υ	Upsilon
0.00000000000000000	0.00000026428793797	0.00000160187923766	0.00000000000000000	0.00001475512858089	  4	120	Μ	Mu
0.00000000000000000	0.00000023490344004	0.00000204466254463	0.00000000000000000	0.00002213269287133	  3	120	Η	Eta
0.00000000000000000	0.00000021561600838	0.00000170566822581	0.00000000000000000	0.00001609650390642	  2	120	Ω	Omega
0.00000000000000000	0.00000021483018105	0.00000165025067718	0.00000000000000000	0.00001303655613297	  2	120	Π	Pi
0.00000000000000000	0.00000018460186533	0.00000150955553099	0.00000000000000000	0.00001609650390642	  3	120	Λ	Lamda
0.00000000000000000	0.00000017168932487	0.00000140630176354	0.00000000000000000	0.00001408444091812	  2	120	Κ	Kappa
0.00000000000000000	0.00000014535979651	0.00000116911428167	0.00000000000000000	0.00001140698661635	  2	120	Γ	Gamma
0.00000000000000000	0.00000009981732208	0.00000084383191222	0.00000000000000000	0.00000871893961598	  2	120	Ρ	Rho
0.00000000000000000	0.00000009422825822	0.00000078703489431	0.00000000000000000	0.00000804825195321	  2	120	Β	Beta
0.00000000000000000	0.00000007187200279	0.00000056855607527	0.00000000000000000	0.00000536550130214	  2	120	Δ	Delta
0.00000000000000000	0.00000006549711160	0.00000060396227890	0.00000000000000000	0.00000651827806648	  2	120	Θ	Theta
0.00000000000000000	0.00000006069387508	0.00000046880635250	0.00000000000000000	0.00000402412597661	  2	120	Χ	Chi
