Mean               	Average            	Std dev            	Mimimum            	Maximum            	# Occurances	# Books	Words
0.07473100201748487	0.07200963073751085	0.01918365331037544	0.02510126938176214	0.13422856084460086	120	120	THE
0.03770430906389301	0.03809070901500587	0.01347782278092213	0.01348791317217563	0.06910504969883711	120	120	OF
0.03377500512858277	0.03355225089605254	0.00724907160417923	0.00485780633337152	0.05668167833415080	120	120	AND
0.02433945806015926	0.02430915950084932	0.00474884020675080	0.01162645395757620	0.04116208074722520	120	120	TO
0.02067884298816336	0.02119466809301188	0.00433241360962094	0.01142686804451510	0.03231920363900059	120	120	A
0.01955879646265897	0.01979309616258899	0.00469407901223781	0.01145535273803651	0.03257032837736656	120	120	IN
0.00998721443562589	0.00994965830258449	0.00355107537789978	0.00068207141443909	0.01826126897818827	120	120	THAT
0.00906099637890838	0.00978704401212601	0.00409196502486256	0.00148389582530641	0.02090047245079941	120	120	IT
0.00902733573409422	0.00893490177714546	0.00563847616754178	0.00009371973633514	0.01992427123464343	120	120	WAS
0.00886053861217209	0.00994006422607511	0.00617914349209703	0.00117903138037366	0.03145762029394000	120	120	IS
0.00753533024054061	0.00773769774675054	0.00175522004189535	0.00431567462722754	0.01534722165198184	120	120	WITH
0.00738452136418422	0.00749774646380509	0.00158431622998980	0.00350928346054920	0.01148113986115831	120	120	AS
0.00703430308293530	0.00700187730777270	0.00179075548895789	0.00302506482281763	0.01425649084766442	120	120	FOR
0.00687478516296366	0.00775153639121101	0.00587351435844662	0.00000000000000000	0.02616542717213858	118	120	HE
0.00670404902700201	0.00720221641508140	0.00517277662916957	0.00000000000000000	0.02489570107019771	119	120	HIS
0.00605095541401274	0.00604941640618845	0.00207099150285872	0.00225197047416489	0.01687097948780192	120	120	ON
0.00578505918319354	0.00602779303521766	0.00235918267581073	0.00173669738048145	0.01308847402597403	120	120	BY
0.00539689174865264	0.00554842523986497	0.00181128802608248	0.00204860216636612	0.01071074789499752	120	120	AT
0.00508566853482786	0.00557730576674688	0.00232355152847594	0.00190427612003741	0.01330915941617964	120	120	BE
0.00489003965782832	0.00503040045458457	0.00194537493026628	0.00029157251304266	0.00923886386944308	120	120	BUT
0.00485460459245594	0.00494146469855242	0.00197183807083042	0.00109974575770118	0.01170055104764556	120	120	NOT
0.00463442375269493	0.00463636803069987	0.00140686417210050	0.00134871871721864	0.00772241776914674	120	120	FROM
0.00452375381255567	0.00489740890919396	0.00270971450420632	0.00016661286459581	0.01509965415195921	120	120	WHICH
0.00424771600984391	0.00459305907743560	0.00160581132504358	0.00021347273276338	0.01016400715003327	120	120	THIS
0.00404249956375904	0.00445741751629453	0.00350478966782102	0.00002365044640218	0.01596227099582804	120	120	HAD
0.00397314700643924	0.00450546593997248	0.00306090068724223	0.00026553925294957	0.01747724457370604	120	120	ARE
0.00396522424451395	0.00895900231304462	0.01026359161038437	0.00000000000000000	0.03830382555839645	119	120	I
0.00371772454886516	0.00393474082541601	0.00191094720214802	0.00074498906166854	0.01159150204994409	120	120	HAVE
0.00371627080303765	0.00412887208616725	0.00207461784897418	0.00007289312826067	0.01134321954358961	120	120	THEY
0.00356213179887656	0.00427001244368944	0.00276441353333877	0.00069248471847633	0.01500787974299915	120	120	OR
0.00354843875100080	0.00385677972902667	0.00156849119411123	0.00101537940831073	0.00976500307809880	120	120	ALL
0.00343031906100182	0.00359027556108031	0.00122751133569911	0.00097716392540708	0.00804955589787290	120	120	ONE
0.00317431525485217	0.00347228148614641	0.00248190421224922	0.00004165321614895	0.01343486874690441	120	120	WERE
0.00297065483709473	0.00303197718704401	0.00162944017261359	0.00013537295248409	0.00661132329184137	120	120	THEIR
0.00285170068027211	0.00291085755112983	0.00113037600235519	0.00109995145041874	0.00976062246466101	120	120	AN
0.00264735995319585	0.00306866647323836	0.00148933215585949	0.00039570555341504	0.00857002719935792	120	120	SO
0.00261124477545758	0.00259435534684436	0.00100793814285030	0.00008851308431652	0.00638381845091268	120	120	WHEN
0.00251556365047848	0.00283956980558741	0.00233187545159396	0.00000000000000000	0.00869264923532314	117	120	HIM
0.00246776534881735	0.00263606843470198	0.00125959078688955	0.00019264612468890	0.00574643284842971	120	120	THERE
0.00231813994036238	0.00260126295080334	0.00131256202014987	0.00068670221360478	0.00936557677526163	120	120	NO
0.00228278631313588	0.00228657351230477	0.00138169118752057	0.00005385899714547	0.00733881891514870	120	120	WHO
0.00225052426985832	0.00517153772528537	0.00674186574432764	0.00000000000000000	0.03667536339918002	113	120	YOU
0.00216392863451687	0.00229152798891425	0.00107822384350931	0.00004685986816757	0.00675252208721671	120	120	THEM
0.00215058365342435	0.00268183420088128	0.00212102347804873	0.00009371973633514	0.01279973704929561	120	120	WE
0.00202063938803493	0.00215503996028462	0.00112131069879165	0.00004685986816757	0.00829618623080733	120	120	BEEN
0.00200037043897018	0.00226045626368305	0.00130999265712265	0.00012382367508668	0.00647351194084131	120	120	IF
0.00191244812484461	0.00315948755806009	0.00359464744276366	0.00000000000000000	0.01820995488450926	115	120	HER
0.00183575603176982	0.00192479417603356	0.00064123516302376	0.00031760577313576	0.00442900564481112	120	120	MORE
0.00179415758849360	0.00206136003148017	0.00118622632442002	0.00006249804693603	0.00677377333912288	120	120	ITS
0.00177420978457822	0.00212364400306224	0.00166814246074914	0.00017002465357477	0.00857283514692651	120	120	WILL
0.00172461268677266	0.00187915359710289	0.00086671960510180	0.00050613424156311	0.00688227990303317	120	120	INTO
0.00169358576674867	0.00174787932339589	0.00072171599212370	0.00000000000000000	0.00344240662472030	119	120	SOME
